user_id,song_id,rating,timestamp
914,423,5,2025-01-14 16:22:33.810684
403,482,5,2024-11-27 16:22:34.394700
386,57,5,2025-04-12 16:22:34.085938
332,279,5,2025-05-26 16:22:34.396062
130,397,5,2025-05-21 16:22:34.396174
217,204,5,2024-12-20 16:22:34.085699
995,121,5,2025-08-07 16:22:34.396280
612,334,5,2025-07-27 16:22:34.085453
794,225,5,2025-08-24 16:22:34.396591
296,117,5,2025-01-26 16:22:34.396698
76,468,5,2025-07-23 16:22:34.396802
951,97,5,2025-06-30 16:22:34.396910
767,167,5,2025-05-31 16:22:34.396933
258,314,5,2025-09-28 16:22:34.084822
157,189,5,2025-02-20 16:22:34.084715
988,460,5,2025-05-05 16:22:34.397069
544,224,5,2024-12-23 16:22:34.084405
636,397,5,2025-01-07 16:22:34.086147
199,434,5,2025-04-05 16:22:34.086253
274,411,5,2025-02-14 16:22:34.395731
632,198,5,2024-12-29 16:22:34.087372
63,498,5,2024-11-24 16:22:34.088143
583,129,5,2025-01-09 16:22:34.088027
165,362,5,2025-09-02 16:22:34.087911
677,162,5,2025-09-02 16:22:34.087800
168,188,5,2025-01-01 16:22:34.394853
467,190,5,2025-09-30 16:22:34.395085
916,334,5,2025-07-02 16:22:34.087166
12,68,5,2024-10-22 16:22:34.395632
412,302,5,2025-06-01 16:22:34.087061
986,230,5,2024-11-02 16:22:34.086939
862,337,5,2025-02-01 16:22:34.086831
798,389,5,2024-12-26 16:22:34.086731
661,272,5,2024-11-20 16:22:34.086595
903,94,5,2025-06-11 16:22:34.395531
240,36,5,2025-02-25 16:22:34.397319
444,294,5,2025-07-20 16:22:34.084197
834,33,5,2025-07-06 16:22:34.397428
455,362,5,2025-05-18 16:22:34.080937
80,427,5,2025-03-20 16:22:34.081713
738,305,5,2025-10-15 16:22:34.081615
240,264,5,2025-06-04 16:22:34.398778
46,332,5,2025-06-15 16:22:34.398883
76,195,5,2025-06-24 16:22:34.081176
531,210,5,2025-04-23 16:22:34.081050
784,235,5,2025-09-13 16:22:34.399156
966,301,5,2025-08-13 16:22:34.398534
423,112,5,2025-08-29 16:22:34.080700
15,356,5,2025-04-11 16:22:34.080574
679,15,5,2024-11-25 16:22:34.399173
911,416,5,2025-08-04 16:22:34.399299
875,436,5,2024-11-04 16:22:34.080428
962,312,5,2025-09-14 16:22:34.080321
629,339,5,2025-10-02 16:22:34.398659
736,99,5,2025-03-22 16:22:34.398407
907,167,5,2025-05-16 16:22:34.397445
808,375,5,2025-10-15 16:22:34.397813
651,485,5,2025-10-05 16:22:34.397461
467,345,5,2025-09-02 16:22:34.083717
921,220,5,2025-05-15 16:22:34.083582
105,422,5,2025-06-30 16:22:34.397672
881,272,5,2025-10-15 16:22:34.083449
967,151,5,2025-03-02 16:22:34.083323
814,306,5,2025-05-08 16:22:34.082911
488,160,5,2024-11-16 16:22:34.398280
598,40,5,2025-03-20 16:22:34.082810
241,494,5,2025-04-26 16:22:34.082708
403,407,5,2024-12-16 16:22:34.082386
