user_id,song_id,rating,timestamp,user_idx,song_idx
914,423,5,2025-01-14 16:22:33.810684,914,423
403,482,5,2024-11-27 16:22:34.394700,403,482
386,57,5,2025-04-12 16:22:34.085938,386,57
332,279,5,2025-05-26 16:22:34.396062,332,279
130,397,5,2025-05-21 16:22:34.396174,130,397
217,204,5,2024-12-20 16:22:34.085699,217,204
995,121,5,2025-08-07 16:22:34.396280,995,121
612,334,5,2025-07-27 16:22:34.085453,612,334
794,225,5,2025-08-24 16:22:34.396591,794,225
296,117,5,2025-01-26 16:22:34.396698,296,117
76,468,5,2025-07-23 16:22:34.396802,76,468
951,97,5,2025-06-30 16:22:34.396910,951,97
767,167,5,2025-05-31 16:22:34.396933,767,167
258,314,5,2025-09-28 16:22:34.084822,258,314
157,189,5,2025-02-20 16:22:34.084715,157,189
988,460,5,2025-05-05 16:22:34.397069,988,460
544,224,5,2024-12-23 16:22:34.084405,544,224
636,397,5,2025-01-07 16:22:34.086147,636,397
199,434,5,2025-04-05 16:22:34.086253,199,434
274,411,5,2025-02-14 16:22:34.395731,274,411
632,198,5,2024-12-29 16:22:34.087372,632,198
63,498,5,2024-11-24 16:22:34.088143,63,498
583,129,5,2025-01-09 16:22:34.088027,583,129
165,362,5,2025-09-02 16:22:34.087911,165,362
677,162,5,2025-09-02 16:22:34.087800,677,162
168,188,5,2025-01-01 16:22:34.394853,168,188
467,190,5,2025-09-30 16:22:34.395085,467,190
916,334,5,2025-07-02 16:22:34.087166,916,334
12,68,5,2024-10-22 16:22:34.395632,12,68
412,302,5,2025-06-01 16:22:34.087061,412,302
986,230,5,2024-11-02 16:22:34.086939,986,230
862,337,5,2025-02-01 16:22:34.086831,862,337
798,389,5,2024-12-26 16:22:34.086731,798,389
661,272,5,2024-11-20 16:22:34.086595,661,272
903,94,5,2025-06-11 16:22:34.395531,903,94
240,36,5,2025-02-25 16:22:34.397319,240,36
444,294,5,2025-07-20 16:22:34.084197,444,294
834,33,5,2025-07-06 16:22:34.397428,834,33
455,362,5,2025-05-18 16:22:34.080937,455,362
80,427,5,2025-03-20 16:22:34.081713,80,427
738,305,5,2025-10-15 16:22:34.081615,738,305
240,264,5,2025-06-04 16:22:34.398778,240,264
46,332,5,2025-06-15 16:22:34.398883,46,332
76,195,5,2025-06-24 16:22:34.081176,76,195
531,210,5,2025-04-23 16:22:34.081050,531,210
784,235,5,2025-09-13 16:22:34.399156,784,235
966,301,5,2025-08-13 16:22:34.398534,966,301
423,112,5,2025-08-29 16:22:34.080700,423,112
15,356,5,2025-04-11 16:22:34.080574,15,356
679,15,5,2024-11-25 16:22:34.399173,679,15
911,416,5,2025-08-04 16:22:34.399299,911,416
875,436,5,2024-11-04 16:22:34.080428,875,436
962,312,5,2025-09-14 16:22:34.080321,962,312
629,339,5,2025-10-02 16:22:34.398659,629,339
736,99,5,2025-03-22 16:22:34.398407,736,99
907,167,5,2025-05-16 16:22:34.397445,907,167
808,375,5,2025-10-15 16:22:34.397813,808,375
651,485,5,2025-10-05 16:22:34.397461,651,485
467,345,5,2025-09-02 16:22:34.083717,467,345
921,220,5,2025-05-15 16:22:34.083582,921,220
105,422,5,2025-06-30 16:22:34.397672,105,422
881,272,5,2025-10-15 16:22:34.083449,881,272
967,151,5,2025-03-02 16:22:34.083323,967,151
814,306,5,2025-05-08 16:22:34.082911,814,306
488,160,5,2024-11-16 16:22:34.398280,488,160
598,40,5,2025-03-20 16:22:34.082810,598,40
241,494,5,2025-04-26 16:22:34.082708,241,494
403,407,5,2024-12-16 16:22:34.082386,403,407
544,441,5,2025-10-05 16:22:34.082286,544,441
677,173,5,2025-04-28 16:22:34.082177,677,173
700,230,5,2025-08-29 16:22:34.082068,700,230
921,453,5,2025-06-06 16:22:34.088248,921,453
142,246,5,2025-06-27 16:22:34.088459,142,246
13,442,5,2024-12-02 16:22:34.080181,13,442
493,203,5,2025-01-11 16:22:34.088657,493,203
677,3,5,2024-11-28 16:22:34.094314,677,3
0,224,5,2024-11-08 16:22:34.389554,0,224
120,74,5,2024-12-22 16:22:34.094099,120,74
611,178,5,2024-10-30 16:22:34.093986,611,178
416,227,5,2025-05-27 16:22:34.389660,416,227
406,14,5,2025-09-25 16:22:34.093763,406,14
869,299,5,2025-02-19 16:22:34.093545,869,299
281,460,5,2024-10-26 16:22:34.093441,281,460
739,151,5,2025-07-31 16:22:34.390108,739,151
174,236,5,2025-03-18 16:22:34.093191,174,236
